artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_mins,decade,popularity_category
Michelle Branch,All You Wanted,217680,False,2001,60,0.499,0.72,8,-9.101,1,0.0286,0.00466,0.00303,0.122,0.652,96.103,pop,3.628,2000,Medium
Michelle Branch,All You Wanted,217680,False,2001,60,0.499,0.72,8,-9.101,1,0.0286,0.00466,0.00303,0.122,0.652,96.103,Folk/Acoustic,3.628,2000,Medium
Daniel Bedingfield,If You're Not The One,257026,False,2002,58,0.688,0.538,10,-7.608,1,0.0292,0.504,0.0,0.111,0.27,119.998,pop,4.283766666666667,2000,Medium
Enrique Iglesias,Escape,208626,False,2001,56,0.776,0.844,11,-5.305,1,0.0297,0.0277,0.000244,0.135,0.868,125.972,pop,3.4771,2000,Medium
Enrique Iglesias,Escape,208626,False,2001,56,0.776,0.844,11,-5.305,1,0.0297,0.0277,0.000244,0.135,0.868,125.972,latin,3.4771,2000,Medium
Puddle Of Mudd,Blurry,303920,False,2001,64,0.432,0.936,3,-4.537,0,0.0562,0.00691,0.0,0.14,0.499,157.469,rock,5.065333333333333,2000,Medium
Puddle Of Mudd,Blurry,303920,False,2001,64,0.432,0.936,3,-4.537,0,0.0562,0.00691,0.0,0.14,0.499,157.469,metal,5.065333333333333,2000,Medium
Coldplay,In My Place,226680,False,2002,72,0.424,0.588,9,-5.455,1,0.0278,0.0553,4.95e-06,0.298,0.193,144.636,rock,3.778,2000,Medium
Coldplay,In My Place,226680,False,2002,72,0.424,0.588,9,-5.455,1,0.0278,0.0553,4.95e-06,0.298,0.193,144.636,pop,3.778,2000,Medium
Outkast,The Whole World (feat. Killer Mike),295346,True,2001,51,0.814,0.852,2,-6.176,1,0.401,0.0958,1.32e-06,0.0288,0.717,184.682,hip hop,4.922433333333333,2000,Medium
Outkast,The Whole World (feat. Killer Mike),295346,True,2001,51,0.814,0.852,2,-6.176,1,0.401,0.0958,1.32e-06,0.0288,0.717,184.682,pop,4.922433333333333,2000,Medium
P!nk,Don't Let Me Get Me - Radio Edit,210693,False,2001,60,0.624,0.85,0,-4.754,0,0.0756,0.00234,0.0,0.0621,0.615,98.525,pop,3.51155,2000,Medium
50 Cent,In Da Club,193466,True,2003,81,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,hip hop,3.2244333333333333,2000,High
50 Cent,In Da Club,193466,True,2003,81,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,pop,3.2244333333333333,2000,High
Sean Paul,Get Busy,211666,False,2002,74,0.735,0.824,10,-4.143,0,0.036,0.615,0.0,0.158,0.726,100.202,hip hop,3.5277666666666665,2000,Medium
Sean Paul,Get Busy,211666,False,2002,74,0.735,0.824,10,-4.143,0,0.036,0.615,0.0,0.158,0.726,100.202,pop,3.5277666666666665,2000,Medium
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,True,2004,77,0.686,0.735,2,-4.616,1,0.264,0.00921,0.00066,0.342,0.0596,171.355,hip hop,5.370433333333334,2000,Medium
Beyoncé,Crazy In Love (feat. Jay-Z),236133,False,2003,76,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,pop,3.93555,2000,Medium
Beyoncé,Crazy In Love (feat. Jay-Z),236133,False,2003,76,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,R&B,3.93555,2000,Medium
Counting Crows,Big Yellow Taxi,225426,False,2003,50,0.669,0.873,8,-4.315,1,0.0494,0.00204,0.0,0.137,0.827,88.029,rock,3.7571,2000,Medium
Counting Crows,Big Yellow Taxi,225426,False,2003,50,0.669,0.873,8,-4.315,1,0.0494,0.00204,0.0,0.137,0.827,88.029,pop,3.7571,2000,Medium
Black Eyed Peas,Where Is The Love?,272533,False,2003,68,0.835,0.687,5,-3.18,1,0.184,0.101,0.0,0.132,0.828,94.059,hip hop,4.542216666666667,2000,Medium
Black Eyed Peas,Where Is The Love?,272533,False,2003,68,0.835,0.687,5,-3.18,1,0.184,0.101,0.0,0.132,0.828,94.059,pop,4.542216666666667,2000,Medium
